,Ano de referência do Coleta,Grande área do conhecimento do programa de pós-graduação,Área de conhecimento do programa de pós-graduação,Área básica do conhecimento do programa de pós-graduação,Subárea do conhecimento do programa de pós-graduação,Especialidade do conhecimento programa de pós-graduação,Código identificador da área de avaliação do programa de pós-graduação,Área de avaliação do programa de pós-graduação,Código da Instituição de Ensino Superior na CAPES,Código e-Mec da Instituição de Ensino Superior,Sigla da Instituição de Ensino Superior do programa de pós-graduação,Instituição de Ensino Superior do programa de pós-graduação,Indicador de programa de pós-graduação em rede,"Siglas das Instituições que compõem o programa em rede, quando for o caso",Status Jurídico da Instituição de Ensino Superior,Dependência administrativa da Instituição de Ensino Superior,Organização acadêmica da Instituição de Ensino Superior,Grande Região onde está localizado o programa,Sigla da Unidade da Federação do programa,Município sede do programa de pós-graduação,Modalidade do programa de pós-graduação,Código do programa de pós-graduação,Nome do programa de pós-graduação,Nome do programa de pós-graduação em inglês,Nível do programa de pós-graduação,Nota/Conceito do programa de pós-graduação,Ano de início do programa de pós-graduação,Ano de início de cada curso que compõe o programa,Situação do programa no ano de referência
95,2021,CIÊNCIAS DA SAÚDE,SAÚDE COLETIVA,SAÚDE COLETIVA,NÃO SE APLICA,NÃO SE APLICA,22,SAÚDE COLETIVA,12008010,3172,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12008010074P6,SAÚDE COLETIVA,COLLECTIVE HEALTH,MESTRADO,A,2021,2021,EM FUNCIONAMENTO
310,2021,CIÊNCIAS SOCIAIS APLICADAS,COMUNICAÇÃO,COMUNICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,31,COMUNICAÇÃO E INFORMAÇÃO,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,PROFISSIONAL,20001010048P0,COMUNICAÇÃO,COMMUNICATION,MESTRADO PROFISSIONAL,A,2019,2019,EM FUNCIONAMENTO
291,2021,CIÊNCIAS SOCIAIS APLICADAS,COMUNICAÇÃO,COMUNICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,31,COMUNICAÇÃO E INFORMAÇÃO,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,ACADÊMICO,16003012161P1,COMUNICAÇÃO E SOCIEDADE,COMMUNICATION AND SOCIETY,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
18,2021,CIÊNCIAS EXATAS E DA TERRA,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,NÃO SE APLICA,NÃO SE APLICA,2,CIÊNCIA DA COMPUTAÇÃO,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,ACADÊMICO,11001011072P2,CIÊNCIA DA COMPUTAÇÃO,COMPUTER SCIENCE,MESTRADO,A,2018,2018,EM FUNCIONAMENTO
330,2021,CIÊNCIAS EXATAS E DA TERRA,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,NÃO SE APLICA,NÃO SE APLICA,2,CIÊNCIA DA COMPUTAÇÃO,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,SIM,FUFPI,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010049P6,CIÊNCIA DA COMPUTAÇÃO,COMPUTER SCIENCE,DOUTORADO,A,2019,2019,EM FUNCIONAMENTO
168,2021,CIÊNCIAS EXATAS E DA TERRA,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,NÃO SE APLICA,NÃO SE APLICA,2,CIÊNCIA DA COMPUTAÇÃO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016047P9,CIÊNCIA DA COMPUTAÇÃO,COMPUTER SCIENCE,MESTRADO/DOUTORADO,4,2005,2005/2015,EM FUNCIONAMENTO
10,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,PORTO VELHO,ACADÊMICO,10001018041P7,CONSERVAÇÃO E USO DE RECURSOS NATURAIS,CONSERVATION AND USE OF NATURAL RESOURCES,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
70,2021,CIÊNCIAS SOCIAIS APLICADAS,DIREITO,DIREITO,NÃO SE APLICA,NÃO SE APLICA,26,DIREITO,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015174P2,DIREITO,CONSTITUTIONALISM AND RIGHTS IN THE AMAZON,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
133,2021,ENGENHARIAS,ENGENHARIA CIVIL,ENGENHARIA CIVIL,NÃO SE APLICA,NÃO SE APLICA,10,ENGENHARIAS I,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016069P2,PROCESSOS CONSTRUTIVOS E SANEAMENTO URBANO,CONSTRUCTION PROCESS AND URBAN SANITATION,MESTRADO PROFISSIONAL,3,2011,2011,EM FUNCIONAMENTO
198,2021,MULTIDISCIPLINAR,ENSINO,ENSINO,NÃO SE APLICA,NÃO SE APLICA,46,ENSINO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016159P1,CRIATIVIDADE E INOVAÇÃO EM METODOLOGIAS DE ENSINO SUPERIOR,CREATIVITY AND INNOVATION IN HIGHER EDUCATION METHODOLOGIES GRADUATE PROGRAM,MESTRADO PROFISSIONAL,3,2017,2017,EM FUNCIONAMENTO
165,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,ENGENHARIA/TECNOLOGIA/GESTÃO,ENGENHARIA/TECNOLOGIA/GESTÃO,NÃO SE APLICA,45,INTERDISCIPLINAR,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016164P5,CIÊNCIAS DO PATRIMÔNIO CULTURAL,CULTURAL HERITAGE SCIENCE,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
338,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010020P8,CULTURA E SOCIEDADE,CULTURE AND SOCIETY,MESTRADO,3,2010,2010,EM FUNCIONAMENTO
303,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,17010004,NI,UFNT,UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS - UFNT,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,TO,ARAGUAÍNA,ACADÊMICO,17010004002P0,ESTUDOS DE CULTURA E TERRITÓRIO,CULTURE AND TERRITORY STUDIES,MESTRADO,3,2015,2015,EM FUNCIONAMENTO
207,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016089P3,CURRÍCULO E GESTÃO DA ESCOLA BÁSICA,CURRICULUM AND MANAGEMENT OF BASIC SCHOOL,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
167,2021,CIÊNCIAS DA SAÚDE,ODONTOLOGIA,ODONTOLOGIA,NÃO SE APLICA,NÃO SE APLICA,18,ODONTOLOGIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016039P6,ODONTOLOGIA,DENTISTRY,MESTRADO/DOUTORADO,4,2003,2003/2019,EM FUNCIONAMENTO
324,2021,CIÊNCIAS DA SAÚDE,ODONTOLOGIA,ODONTOLOGIA,NÃO SE APLICA,NÃO SE APLICA,18,ODONTOLOGIA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010017P7,ODONTOLOGIA,DENTISTRY GRADUATE PROGRAM,MESTRADO/DOUTORADO,4,2008,2008/2012,EM FUNCIONAMENTO
343,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010055P6,DESENVOLVIMENTO E MEIO AMBIENTE,DEVELOPMENT AND ENVIRONMENT,MESTRADO,A,2020,2020,EM FUNCIONAMENTO
317,2021,CIÊNCIAS EXATAS E DA TERRA,QUÍMICA,QUÍMICA,NÃO SE APLICA,NÃO SE APLICA,4,QUÍMICA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,SIM,IFMA - MC,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010054P0,QUÍMICA UFMA - IFMA,DOCTORAL PROGRAM IN CHEMISTRY IN ASSOCIATION UFMA/IFMA,DOUTORADO,A,2021,2021,EM FUNCIONAMENTO
164,2021,CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA,ANÁLISE,ANÁLISE,NÃO SE APLICA,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,SIM,UFAM,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016061P1,MATEMÁTICA - UFPA - UFAM,DOCTORAL PROGRAM IN MATHEMATICS,DOUTORADO,4,2010,2010,EM FUNCIONAMENTO
211,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,SIM,EMBRAPA-CPATU,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016087P0,ECOLOGIA,ECOLOGY,MESTRADO/DOUTORADO,4,2015,2015/2015,EM FUNCIONAMENTO
359,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20002017009P0,ECOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE,ECOLOGY AND CONSERVATION OF BIODIVERSITY,MESTRADO,3,2014,2014,EM FUNCIONAMENTO
29,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,ACADÊMICO,11001011001P8,ECOLOGIA E MANEJO DE RECURSOS NATURAIS,ECOLOGY AND NATURAL RESOUCE MANAGEMENT,MESTRADO,3,1996,1996,EM FUNCIONAMENTO
25,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,ACADÊMICO,11001011009P9,EDUCAÇÃO,EDUCACION,MESTRADO,3,2014,2014,EM FUNCIONAMENTO
113,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,13003011,5077,UERR,UNIVERSIDADE ESTADUAL DE RORAIMA,SIM,IFRR,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,ACADÊMICO,13003011003P9,EDUCAÇÃO,EDUCATION,MESTRADO,3,2014,2014,EM FUNCIONAMENTO
94,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,12008010,3172,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12008010073P0,EDUCAÇÃO,EDUCATION,MESTRADO,A,2020,2020,EM FUNCIONAMENTO
58,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015001P0,EDUCAÇÃO,EDUCATION,MESTRADO/DOUTORADO,3,1987,1987/2010,EM FUNCIONAMENTO
135,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,CAMETÁ,ACADÊMICO,15001016082P9,EDUCAÇÃO E CULTURA,EDUCATION AND CULTURE,MESTRADO,3,2014,2014,EM FUNCIONAMENTO
196,2021,MULTIDISCIPLINAR,ENSINO,ENSINO DE CIÊNCIAS E MATEMÁTICA,ENSINO DE CIÊNCIAS E MATEMÁTICA,NÃO SE APLICA,46,ENSINO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,SIM,UFMT;UEA,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,50001019028P3,EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA - UFMT - UFPA - UEA,EDUCATION IN SCIENCE AND MATHEMATICS,DOUTORADO,5,2010,2010,EM FUNCIONAMENTO
264,2021,MULTIDISCIPLINAR,ENSINO,ENSINO DE CIÊNCIAS E MATEMÁTICA,ENSINO DE CIÊNCIAS E MATEMÁTICA,NÃO SE APLICA,46,ENSINO,15025012,18440,UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,MARABÁ,ACADÊMICO,15025012072P2,EDUCAÇÃO EM CIÊNCIAS EM MATEMÁTICA,EDUCATION IN SCIENCE AND MATHEMATICS,MESTRADO,3,2018,2018,EM FUNCIONAMENTO
139,2021,MULTIDISCIPLINAR,ENSINO,ENSINO DE CIÊNCIAS E MATEMÁTICA,ENSINO DE CIÊNCIAS E MATEMÁTICA,NÃO SE APLICA,46,ENSINO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016033P8,EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICAS,EDUCATION IN SCIENCE AND MATHEMATICS,MESTRADO/DOUTORADO,4,2001,2001/2009,EM FUNCIONAMENTO
214,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,SIM,UNIR;UNIFAP;UFT;UFRR;UFOPA;UFAM;UFAC;UEA,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016166P8,EDUCAÇÃO NA AMAZÔNIA,EDUCATION IN THE AMAZON,DOUTORADO,A,2020,2020,EM FUNCIONAMENTO
326,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,ENGENHARIA/TECNOLOGIA/GESTÃO,ENGENHARIA/TECNOLOGIA/GESTÃO,NÃO SE APLICA,45,INTERDISCIPLINAR,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,PROFISSIONAL,20001010023P7,ENERGIA E AMBIENTE,ENERGY AND ENVIRONMENT,MESTRADO PROFISSIONAL,3,2011,2011,EM FUNCIONAMENTO
181,2021,CIÊNCIAS EXATAS E DA TERRA,OCEANOGRAFIA,OCEANOGRAFIA BIOLÓGICA,OCEANOGRAFIA BIOLÓGICA,NÃO SE APLICA,7,BIODIVERSIDADE,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BRAGANÇA,ACADÊMICO,15001016030P9,BIOLOGIA AMBIENTAL,ENVIRONMENTAL BIOLOGY,MESTRADO/DOUTORADO,4,2000,2000/2007,EM FUNCIONAMENTO
96,2021,CIÊNCIAS SOCIAIS APLICADAS,DIREITO,DIREITO,NÃO SE APLICA,NÃO SE APLICA,26,DIREITO,12008010,3172,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12008010002P5,DIREITO AMBIENTAL,ENVIRONMENTAL LAW,MESTRADO,3,2003,2003,EM FUNCIONAMENTO
216,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016076P9,CIÊNCIAS E MEIO AMBIENTE,ENVIRONMENTAL SCIENCE,MESTRADO PROFISSIONAL,3,2012,2012,EM FUNCIONAMENTO
26,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,CRUZEIRO DO SUL,ACADÊMICO,11001011074P5,CIÊNCIAS AMBIENTAIS,ENVIRONMENTAL SCIENCE,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
43,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015007P9,CIÊNCIAS DO AMBIENTE E SUSTENTABILIDADE NA AMAZÔNIA,ENVIRONMENTAL SCIENCE AND SUSTAINABILITY IN THE AMAZON,MESTRADO/DOUTORADO,4,2000,2000/2011,EM FUNCIONAMENTO
240,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS,MEIO AMBIENTE E AGRÁRIAS,NÃO SE APLICA,45,INTERDISCIPLINAR,15006018,38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15006018005P6,CIÊNCIAS AMBIENTAIS,ENVIRONMENTAL SCIENCES,MESTRADO/DOUTORADO,4,2011,2011/2021,EM FUNCIONAMENTO
123,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,14001012,830,UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AP,MACAPÁ,ACADÊMICO,14001012158P2,CIÊNCIAS AMBIENTAIS,ENVIRONMENTAL SCIENCES,MESTRADO,3,2017,2017,EM FUNCIONAMENTO
334,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,CHAPADINHA,ACADÊMICO,20001010051P0,CIÊNCIAS AMBIENTAIS,ENVIRONMENTAL SCIENCES,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
282,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,ACADÊMICO,16003012001P4,CIÊNCIAS DO AMBIENTE,ENVIRONMENTAL SCIENCES,MESTRADO/DOUTORADO,4,2003,2003/2014,EM FUNCIONAMENTO
15,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,ROLIM DE MOURA,ACADÊMICO,10001018017P9,CIÊNCIAS AMBIENTAIS,ENVIRONMENTAL SCIENCES,MESTRADO,3,2013,2013,EM FUNCIONAMENTO
67,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,HUMAITÁ,ACADÊMICO,12001015064P2,CIÊNCIAS AMBIENTAIS,ENVIRONMENTAL SCIENCES,MESTRADO,3,2015,2015,EM FUNCIONAMENTO
143,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016046P2,CIÊNCIAS AMBIENTAIS,ENVIRONMENTAL SCIENCES PROGRAM,MESTRADO/DOUTORADO,5,2005,2005/2011,EM FUNCIONAMENTO
260,2021,CIÊNCIAS DA SAÚDE,SAÚDE COLETIVA,EPIDEMIOLOGIA,EPIDEMIOLOGIA,NÃO SE APLICA,22,SAÚDE COLETIVA,15012018,NI,IEC,INSTITUTO EVANDRO CHAGAS,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,PA,ANANINDEUA,ACADÊMICO,15012018002P3,EPIDEMIOLOGIA E VIGILÂNCIA EM SAÚDE,EPIDEMIOLOGY AND SURVEILLANCE IN HEALTH,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
384,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014001P6,EDUCAÇÃO,FEDERAL UNIVERSITY OF PIAUÍ,MESTRADO/DOUTORADO,5,1991,1991/2011,EM FUNCIONAMENTO
210,2021,CIÊNCIAS AGRÁRIAS,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,NÃO SE APLICA,NÃO SE APLICA,25,CIÊNCIA DE ALIMENTOS,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016038P0,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,FOOD SCIENCE AND TECHNOLOGY,MESTRADO/DOUTORADO,4,2003,2003/2011,EM FUNCIONAMENTO
267,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,ENGENHARIA/TECNOLOGIA/GESTÃO,ENGENHARIA/TECNOLOGIA/GESTÃO,NÃO SE APLICA,45,INTERDISCIPLINAR,15025012,18440,UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,MARABÁ,PROFISSIONAL,15025012074P5,CIÊNCIAS FORENSES,FORENSIC SCIENCE,MESTRADO PROFISSIONAL,A,2021,2021,EM FUNCIONAMENTO
299,2021,CIÊNCIAS AGRÁRIAS,RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,GURUPI,ACADÊMICO,16003012016P1,CIÊNCIAS FLORESTAIS E AMBIENTAIS,FOREST AND ENVIRONMENTAL SCIENCES,MESTRADO,3,2013,2013,EM FUNCIONAMENTO
